alpha,beta,omega
1.4554425309821815,0.013772225278716733,1.2106905880286751
0.9046800706458055,0.25005124675103213,1.0450925823624813
0.5614602859042921,0.1539105599989677,0.8227351979242883
0.5247914532927936,0.13641623901306082,0.7918987514528542
1.7199053588004087,0.18452046753457085,1.3631932032735994
1.8691333659165825,0.2565081792339211,1.4357975136982315
1.4099536636507697,0.09446561019907242,1.2168824393917739
1.5942448414759975,0.08757992199753105,1.288382622893582
1.3154374871981342,0.0243533202365269,1.1548603713763537
1.9026086356816523,0.08725573718265434,1.4028722103486986
1.7237803311822981,0.02920143597938124,1.3212423729834106
0.5041077502552221,0.022051961280427322,0.721558536236349
1.786106414881354,0.17029186304100646,1.3834107532335105
0.5503783629581965,0.06331211734703082,0.773215656184269
1.5944831696449162,0.031534739398972195,1.2720590490201882
0.7634834309038385,0.27584727500986866,0.9850730364603631
1.7947683835248298,0.05313282881648076,1.354480714199058
1.3121918303736375,0.03750092930995067,1.1577208330837363
0.9495678358060772,0.29149663691488875,1.080828531031747
1.1340308317964878,0.20342041953147447,1.134282216401674
0.5424795067181944,0.22046867208425103,0.8413269345393518
0.686424914749346,0.1733291587878567,0.9035606143697492
1.5059366220404455,0.03041301709485198,1.2364248399565516
1.4707842673613751,0.25414439971963787,1.2889501802440246
1.4230776672218808,0.13122841121952475,1.2334905656860633
1.075516331392825,0.12381566906909039,1.0809153913210057
1.9958149036838164,0.049239680761272886,1.4257435478566163
1.9712530081643451,0.042833766891071344,1.41540747960884
1.528312976721042,0.16145132054398653,1.2842902581305489
1.4756889144017244,0.17493564097504266,1.267631904431648
1.5326700958564101,0.160418807396363,1.285684331942986
1.0833821359686557,0.18780615660672215,1.1064523276778342
0.7026447575336168,0.2645166042953576,0.949227164990096
1.5822325102911226,0.15621940503392062,1.3036092451599761
1.2880314837135889,0.11995282682296186,1.1738807877424395
0.9653628133384335,0.08440608374832403,1.0142324073651348
1.2287530382476837,0.09898552631192817,1.1414868299641612
1.8342317515235003,0.17263404547411992,1.4013234050814574
1.9010652739343745,0.24065797893824556,1.442760811131928
1.0366927950636053,0.13792509868029149,1.0677718010295196
1.3572947460946414,0.021821074919498175,1.1720326583693241
0.9828040866139132,0.06456480608540335,1.0154938164154255
1.3914500452995453,0.03628914769323804,1.1910780436518313
1.0068668382607,0.10666959006863569,1.0425301102664501
1.087428500792242,0.20846923084057337,1.1152490412112768
1.8354115280071885,0.18130727225241222,1.4040626703236923
0.8407363903000695,0.2020170010878898,0.9961170318371164
1.4347807170290636,0.14183258796693315,1.2414327037758686
0.6260230153735773,0.04183635571582103,0.8108022460257761
1.7489662214800967,0.09591422696140943,1.3494079782264345
1.680647461233025,0.15817853888722058,1.3413729404600498
0.8590541644894283,0.15417783987106956,0.9872626521816423
1.8147263462160557,0.0806618024860524,1.369387709189985
0.5878520522077915,0.249337451868389,0.880258564916629
1.0041755908184906,0.13566086743624162,1.0516279006358056
0.7254192003422586,0.25518227629659723,0.9574998211825977
1.1755090499739305,0.08699286279613833,1.1138912411322006
1.6944864054309414,0.2831624799032077,1.3808903886110393
0.8459633134906211,0.042438630456355285,0.9369056976734038
0.5780319515966144,0.23306292224927913,0.8676572729387876
1.1068277597322922,0.015854071372818607,1.057694811021547
0.797769566763883,0.07853299242703819,0.9255643203387659
0.6361295684286828,0.26246045824995606,0.9126745926759163
1.370498578980276,0.11153044994527327,1.2058799345039417
0.9480441992283839,0.28041905298704795,1.0762706392765111
1.507992316934539,0.2795309301806284,1.3105878507639275
0.79927316595232,0.24205584729911653,0.9903610712395037
1.9131696657597468,0.12487058027519654,1.4166236624333732
1.047665252367243,0.25889786599643344,1.1143781458125281
0.6582429193553443,0.14256025770935762,0.8747360245453267
1.4436622273095638,0.04658993657483207,1.2159788977365882
1.8907318296018012,0.25706792698656167,1.4434447598857818
1.160565732073676,0.2467115442823498,1.1599997371919695
1.9318857405361058,0.04931397773116826,1.403164717285352
1.2498437205314705,0.26129268992375276,1.202419742841195
1.1378429372736134,0.16049928540008787,1.121702902431691
