alpha,beta,omega
1.4554425309821815,0.013772225278716733,1.2099794096518253
0.9046800706458055,0.25005124675103213,1.0300301451245009
0.5614602859042921,0.1539105599989677,0.810958929850117
0.5247914532927936,0.13641623901306082,0.7810580021201733
1.7199053588004087,0.18452046753457085,1.3547068505804183
1.8691333659165825,0.2565081792339211,1.424588002875843
1.4099536636507697,0.09446561019907242,1.2120209032954794
1.5942448414759975,0.08757992199753105,1.2841270547435928
1.3154374871981342,0.0243533202365269,1.153541638756904
1.9026086356816523,0.08725573718265434,1.3989794392416248
1.7237803311822981,0.02920143597938124,1.319860306498158
0.5041077502552221,0.022051961280427322,0.7196459032437336
1.786106414881354,0.17029186304100646,1.3756957618899548
0.5503783629581965,0.06331211734703082,0.7680810089437772
1.5944831696449162,0.031534739398972195,1.2705087098360537
0.7634834309038385,0.27584727500986866,0.9674130337063929
1.7947683835248298,0.05313282881648076,1.3520267754505197
1.3121918303736375,0.03750092930995067,1.1556945579141387
0.9495678358060772,0.29149663691488875,1.0638389135004804
1.1340308317964878,0.20342041953147447,1.1230176285364621
0.5424795067181944,0.22046867208425103,0.8247862915754913
0.686424914749346,0.1733291587878567,0.8914906836258898
1.5059366220404455,0.03041301709485198,1.2348865363768153
1.4707842673613751,0.25414439971963787,1.2765674745919813
1.4230776672218808,0.13122841121952475,1.2268233060364004
1.075516331392825,0.12381566906909039,1.073732333759679
1.9958149036838164,0.049239680761272886,1.423583402600498
1.9712530081643451,0.042833766891071344,1.41351480801273
1.528312976721042,0.16145132054398653,1.2764090457455375
1.4756889144017244,0.17493564097504266,1.258977239671602
1.5326700958564101,0.160418807396363,1.2778622188949547
1.0833821359686557,0.18780615660672215,1.0957923999772297
0.7026447575336168,0.2645166042953576,0.9316478064259129
1.5822325102911226,0.15621940503392062,1.2960978506414256
1.2880314837135889,0.11995282682296186,1.1674767665688
0.9653628133384335,0.08440608374832403,1.0090176488452203
1.2287530382476837,0.09898552631192817,1.1360541325978435
1.8342317515235003,0.17263404547411992,1.3936025365737625
1.9010652739343745,0.24065797893824556,1.4322976334445219
1.0366927950636053,0.13792509868029149,1.0596678638794268
1.3572947460946414,0.021821074919498175,1.1708684460345353
0.9828040866139132,0.06456480608540335,1.0115122789256146
1.3914500452995453,0.03628914769323804,1.1891723014802436
1.0068668382607,0.10666959006863569,1.0361155013093846
1.087428500792242,0.20846923084057337,1.1035043135700016
1.8354115280071885,0.18130727225241222,1.3959686863124638
0.8407363903000695,0.2020170010878898,0.9833600642592726
1.4347807170290636,0.14183258796693315,1.2342714792574594
0.6260230153735773,0.04183635571582103,0.8075708871027766
1.7489662214800967,0.09591422696140943,1.344958219920224
1.680647461233025,0.15817853888722058,1.3339824016970905
0.8590541644894283,0.15417783987106956,0.9774534845243771
1.8147263462160557,0.0806618024860524,1.365701275085382
0.5878520522077915,0.249337451868389,0.862373445570731
1.0041755908184906,0.13566086743624162,1.043534203064826
0.7254192003422586,0.25518227629659723,0.9406955527840194
1.1755090499739305,0.08699286279613833,1.1089993639409883
1.6944864054309414,0.2831624799032077,1.3680142379998996
0.8459633134906211,0.042438630456355285,0.9340703707568522
0.5780319515966144,0.23306292224927913,0.8507034018989309
1.1068277597322922,0.015854071372818607,1.0567575664930458
0.797769566763883,0.07853299242703819,0.9202459926730362
0.6361295684286828,0.26246045824995606,0.894520740304497
1.370498578980276,0.11153044994527327,1.2000854595386412
0.9480441992283839,0.28041905298704795,1.0598613623230582
1.507992316934539,0.2795309301806284,1.2971889408630617
0.79927316595232,0.24205584729911653,0.9749656765826517
1.9131696657597468,0.12487058027519654,1.4111037447444268
1.047665252367243,0.25889786599643344,1.0997619827103562
0.6582429193553443,0.14256025770935762,0.864490069592296
1.4436622273095638,0.04658993657483207,1.2135818627801067
1.8907318296018012,0.25706792698656167,1.432270674128463
1.160565732073676,0.2467115442823498,1.1466300393981246
1.9318857405361058,0.04931397773116826,1.4009664437873186
1.2498437205314705,0.26129268992375276,1.1887605527328942
1.1378429372736134,0.16049928540008787,1.1127241305232256
1.4303201780230668,0.22564131996853104,1.2535334072147413
1.9926447578529862,0.08777104603190122,1.4309093827433395
1.923415512406648,0.07248383030827839,1.4031100834750359
1.1900677089636442,0.25601071632322664,1.1619270229518122
1.636593267962437,0.1840620014369932,1.3234923569331853
1.2461340432314285,0.05283458502650893,1.1309976387565965
1.2939682402951556,0.11610232501299493,1.1689876789035363
1.6786785510707112,0.259120387284224,1.356697753047211
1.1219837740335061,0.1458022386971025,1.101412807815124
1.601725357683094,0.10768733972759408,1.2919094182692688
1.5667143169846247,0.10887662081636895,1.2785781966680236
1.8980895299200673,0.24914681864785063,1.433110704577624
0.6723989499213578,0.14174671798653907,0.8723477796515245
1.593522675614464,0.2850225157930706,1.331037846188129
1.8911358929368398,0.10053804376145627,1.3978455459340813
1.9518892848869696,0.2293792954590347,1.447498305542658
0.5220594574480539,0.092854592880299,0.7616387450742254
1.7954601353683637,0.23267325257298718,1.3931550230417578
1.9717925600995163,0.015103413178418415,1.4075625006855035
1.9358152694164454,0.047648084652859246,1.4019969052478263
0.7231460183487468,0.08518450289356339,0.8811278753150554
1.9589432207344324,0.2623266697431164,1.457016605713154
1.834903333580781,0.10352452914051191,1.3782620085795012
1.7335607413146057,0.1502224069482367,1.351831996091694
1.2199818857117481,0.04104291081297423,1.1160796140821931
0.8485593794589558,0.17433670294570391,0.9785294164203857
1.702820868077462,0.03783841484358119,1.3139520072493898
1.8852952396752043,0.051064677968705806,1.384633765082177
0.8991954084384388,0.24228199460541205,1.02499836832398
1.3084016114332804,0.08073398301035728,1.1657016560058382
1.1641292434617974,0.027763576216529147,1.086959741019477
1.8965259739717326,0.18452921526823024,1.4183993561456438
0.560766066782652,0.05248504524599717,0.7704344359265104
1.598009293484841,0.02531684988570186,1.2703670039257966
1.4215598704234949,0.25086017179335646,1.25632299899124
0.5425480476702815,0.1251830180767065,0.7879006498082249
1.5788296592401105,0.26098777206080387,1.319828404292813
