alpha,beta,omega,split
0.9828040866139132,0.06456480608540335,1.0115240363781812,train
1.3914500452995453,0.03628914769323804,1.1898240969057903,train
1.0068668382607,0.10666959006863569,1.0352830371396218,train
1.087428500792242,0.20846923084057337,1.1034065021826422,train
1.8354115280071885,0.18130727225241222,1.3948164646517205,train
0.8407363903000695,0.2020170010878898,0.9818501302454,train
1.4347807170290636,0.14183258796693315,1.2332526750179256,train
0.6260230153735773,0.04183635571582103,0.8075342986859043,train
1.7489662214800967,0.09591422696140943,1.3455187742579922,train
1.680647461233025,0.15817853888722058,1.332901559401201,train
0.8590541644894283,0.15417783987106956,0.9775356709654969,test
1.8147263462160557,0.0806618024860524,1.3665189880525872,train
0.5878520522077915,0.249337451868389,0.8601708446286996,train
1.0041755908184906,0.13566086743624162,1.0431406633181441,train
0.7254192003422586,0.25518227629659723,0.9392666504888154,train
1.1755090499739305,0.08699286279613833,1.1085757900886175,train
1.6944864054309414,0.2831624799032077,1.3681298976789393,test
0.8459633134906211,0.042438630456355285,0.9345570858397645,train
0.5780319515966144,0.23306292224927913,0.8484154471390037,train
1.1068277597322922,0.015854071372818607,1.0571204899303022,train
0.797769566763883,0.07853299242703819,0.9194866658663678,train
0.6361295684286828,0.26246045824995606,0.8921503992981187,train
1.370498578980276,0.11153044994527327,1.199343726041266,train
0.9480441992283839,0.28041905298704795,1.058768652997873,train
1.507992316934539,0.2795309301806284,1.2972218378391014,train
0.79927316595232,0.24205584729911653,0.9740305803322366,test
1.9131696657597468,0.12487058027519654,1.4111492152680376,train
1.047665252367243,0.25889786599643344,1.0980567516315307,train
0.6582429193553443,0.14256025770935762,0.8635716210001259,train
1.4436622273095638,0.04658993657483207,1.214320949530059,train
1.8907318296018012,0.25706792698656167,1.4317537505432498,train
1.160565732073676,0.2467115442823498,1.1456005309613195,train
1.9318857405361058,0.04931397773116826,1.4017241784191732,test
1.2498437205314705,0.26129268992375276,1.187895335202012,train
1.1378429372736134,0.16049928540008787,1.1124278606948284,train
