alpha,beta,omega
1.4554425309821815,0.013772225278716733,1.2063742025824538
0.9046800706458055,0.25005124675103213,0.8998048335825268
0.5614602859042921,0.1539105599989677,0.7098838566642025
0.5247914532927936,0.13641623901306082,0.691938934971238
1.7199053588004087,0.18452046753457085,1.3045253269681105
1.8691333659165825,0.2565081792339211,1.3546953866993297
1.4099536636507697,0.09446561019907242,1.185120109374362
1.5942448414759975,0.08757992199753105,1.2610221465081253
1.3154374871981342,0.0243533202365269,1.1467668697697686
1.9026086356816523,0.08725573718265434,1.3781390384677694
1.7237803311822981,0.02920143597938124,1.3127766696005145
0.5041077502552221,0.022051961280427322,0.7094396109043936
1.786106414881354,0.17029186304100646,1.3309881046417509
0.5503783629581965,0.06331211734703082,0.7373098563514227
1.5944831696449162,0.031534739398972195,1.26252917214497
0.7634834309038385,0.27584727500986866,0.7204940803562722
1.7947683835248298,0.05313282881648076,1.3392098525260345
1.3121918303736375,0.03750092930995067,1.1451276002609332
0.9495678358060772,0.29149663691488875,0.8995799382239703
1.1340308317964878,0.20342041953147447,1.0468007848835408
0.686424914749346,0.1733291587878567,0.7943457054300764
1.5059366220404455,0.03041301709485198,1.2269640351726245
1.4707842673613751,0.25414439971963787,1.1939025414716555
1.4230776672218808,0.13122841121952475,1.1883881099731153
1.075516331392825,0.12381566906909039,1.0306787566169548
1.9958149036838164,0.049239680761272886,1.4123839811149153
1.9712530081643451,0.042833766891071344,1.4037450288735942
1.528312976721042,0.16145132054398653,1.2299367286441139
1.4756889144017244,0.17493564097504266,1.2067919236968088
1.5326700958564101,0.160418807396363,1.2318149245434478
1.0833821359686557,0.18780615660672215,1.024548389805495
1.5822325102911226,0.15621940503392062,1.2523216782033035
1.2880314837135889,0.11995282682296186,1.1305028845478036
0.9653628133384335,0.08440608374832403,0.979192608189166
1.2287530382476837,0.09898552631192817,1.1053304284758194
1.8342317515235003,0.17263404547411992,1.348952238467407
1.9010652739343745,0.24065797893824556,1.3683024503005379
1.0366927950636053,0.13792509868029149,1.009523354044889
1.3572947460946414,0.021821074919498175,1.1649090008755696
0.9828040866139132,0.06456480608540335,0.9895264429151573
1.3914500452995453,0.03628914769323804,1.1792710397473671
1.0068668382607,0.10666959006863569,0.9982716500347589
1.087428500792242,0.20846923084057337,1.0219523732252642
1.8354115280071885,0.18130727225241222,1.3487932803050473
0.8407363903000695,0.2020170010878898,0.8840206007964392
1.4347807170290636,0.14183258796693315,1.1925276816550798
0.6260230153735773,0.04183635571582103,0.7896953433458159
1.7489662214800967,0.09591422696140943,1.3208025468876514
1.680647461233025,0.15817853888722058,1.291242442724722
0.8590541644894283,0.15417783987106956,0.9110710037165113
1.8147263462160557,0.0806618024860524,1.3460082894877605
1.0041755908184906,0.13566086743624162,0.9932657336484855
0.7254192003422586,0.25518227629659723,0.7292319112038356
1.1755090499739305,0.08699286279613833,1.081625851977136
1.6944864054309414,0.2831624799032077,1.2830280288491995
0.8459633134906211,0.042438630456355285,0.918790009213293
1.1068277597322922,0.015854071372818607,1.0519723210916458
0.797769566763883,0.07853299242703819,0.8892662153119049
1.370498578980276,0.11153044994527327,1.167271915107345
0.9480441992283839,0.28041905298704795,0.90809299605585
1.507992316934539,0.2795309301806284,1.2053949268552293
0.79927316595232,0.24205584729911653,0.8286186824990841
1.9131696657597468,0.12487058027519654,1.3806436092101755
1.047665252367243,0.25889786599643344,0.9838544232576727
0.6582429193553443,0.14256025770935762,0.7892597004240364
1.4436622273095638,0.04658993657483207,1.2010117841873849
1.8907318296018012,0.25706792698656167,1.3627608165142948
1.160565732073676,0.2467115442823498,1.0493761635356693
1.9318857405361058,0.04931397773116826,1.3895547869327538
1.2498437205314705,0.26129268992375276,1.090201978967138
1.1378429372736134,0.16049928540008787,1.0563451703263342
1.4303201780230668,0.22564131996853104,1.1809503329263114
1.9926447578529862,0.08777104603190122,1.4104695853655094
1.923415512406648,0.07248383030827839,1.3860590080029898
1.1900677089636442,0.25601071632322664,1.0617503554081136
1.636593267962437,0.1840620014369932,1.271803009270676
1.2461340432314285,0.05283458502650893,1.1154695236535936
1.2939682402951556,0.11610232501299493,1.1334448517572084
1.6786785510707112,0.259120387284224,1.2801783234477586
1.1219837740335061,0.1458022386971025,1.0506936431048857
1.601725357683094,0.10768733972759408,1.2631293381179038
1.5667143169846247,0.10887662081636895,1.2490726915290575
1.8980895299200673,0.24914681864785063,1.3663461996598747
0.6723989499213578,0.14174671798653907,0.7991990914468721
1.593522675614464,0.2850225157930706,1.2410307217089775
1.8911358929368398,0.10053804376145627,1.3735457090789265
1.9518892848869696,0.2293792954590347,1.388089159947491
0.5220594574480539,0.092854592880299,0.7104987692228685
1.7954601353683637,0.23267325257298718,1.3292069716686217
1.9717925600995163,0.015103413178418415,1.4041725698083563
1.9358152694164454,0.047648084652859246,1.390993549389739
0.7231460183487468,0.08518450289356339,0.8448661163806758
1.9589432207344324,0.2623266697431164,1.3875456890317135
1.834903333580781,0.10352452914051191,1.352758115009975
1.7335607413146057,0.1502224069482367,1.3122615924069443
1.2199818857117481,0.04104291081297423,1.104014314005601
0.8485593794589558,0.17433670294570391,0.8992872995170167
1.702820868077462,0.03783841484358119,1.3046609871510544
1.8852952396752043,0.051064677968705806,1.372650242854264
0.8991954084384388,0.24228199460541205,0.9009337222521
1.3084016114332804,0.08073398301035728,1.141993481794688
1.1641292434617974,0.027763576216529147,1.07869929622932
1.8965259739717326,0.18452921526823024,1.371260743348285
0.560766066782652,0.05248504524599717,0.7459006512378409
1.598009293484841,0.02531684988570186,1.2639965363209462
1.4215598704234949,0.25086017179335646,1.1727986300516529
0.5425480476702815,0.1251830180767065,0.7129114359330605
1.5788296592401105,0.26098777206080387,1.2389234013077046
1.636926503534642,0.06827956869708517,1.278499755958657
1.269138084893117,0.03459527580693794,1.1262192595991012
1.8936563311955092,0.05969360319802229,1.3755416473160427
0.5991237450861121,0.1534282476954812,0.7407978959921379
1.761975919418575,0.1137469604760536,1.3250214911843625
1.0164649682061877,0.14607984448553699,0.997989850798814
1.1454480979217498,0.17087741312870858,1.0584520950499285
1.9490931211761053,0.1223611508926465,1.3937452175320177
1.3433477633426856,0.2289210981258485,1.1415931178644034
0.8882968897563983,0.20979253947299045,0.9102420796765499
0.8625135711415175,0.20887397688181478,0.8946705113731819
1.8321774809887699,0.2337623726366925,1.343100778655044
0.8388041426259866,0.12559577732796062,0.9056751705584467
0.6868320587529253,0.04453489395953103,0.8272580809724569
0.9324961355113663,0.2472006988029939,0.9197670749151671
1.3791845972190993,0.11020152081271128,1.171095600480458
1.3311357532599017,0.2106111586563728,1.139169579572328
1.7145661638691667,0.29665511371862446,1.2889919051906282
1.3407139280092788,0.21351090327898767,1.143037304916011
0.9326318216468157,0.27293886202806417,0.902995058325314
1.1193445140213392,0.013872935104001534,1.0579258243552545
1.7271814564563657,0.18507806625749182,1.307300041115351
1.4397596936296302,0.038223580734573395,1.1995556387607398
1.9386164640461634,0.2630263429390877,1.3799682326252252
1.0541066166375213,0.28847184837907275,0.9729601037091852
1.3289172657819308,0.01990453748534805,1.152683019658326
1.3908863024197524,0.04864579160698334,1.178764694404095
1.77243681241259,0.2515007001933247,1.3182332189371553
0.7182103072797976,0.20919706382698885,0.7932881340869714
1.10976550512219,0.2946807552099427,1.0031425790441666
1.8649384424934454,0.2293876665072061,1.3558834573496195
0.5646003328523063,0.18231512161212451,0.681057862325239
1.7340594202722528,0.166380543574902,1.3113782308278374
1.123076056056837,0.012861534315179498,1.059697331612271
1.744705977917154,0.2373062642227254,1.3090684511604855
