alpha,beta,A,omega
1.478448894051366,0.16433560784915616,0.5,1.2185517033482713
0.5656629854584949,0.10988871305717735,0.5,0.7549539809235334
0.5300443803113253,0.16289881244905596,0.5,0.7323985357526437
1.758818873766545,0.15711587551617504,0.5,1.3285165458713324
1.3807145713820876,0.08575067380547545,0.5,1.1764625820983914
0.8370578453054367,0.25718904535476195,0.5,0.9203826880105943
1.6276884077279232,0.12863579247442392,0.5,1.2777766797728998
0.895538296217562,0.06907128308119531,0.5,0.9477533398584893
1.129966864574402,0.17149804518559117,0.5,1.066145396728075
1.1765470805016633,0.1806379445555005,0.5,1.0879353152696454
1.9329718688318565,0.18414427558021082,0.5,1.3928980596571698
1.837852503774564,0.2190781323383826,0.5,1.3588267892998842
0.9179495382784153,0.13133027174373385,0.5,0.9607703300052541
0.9178014466690635,0.06184039223792202,0.5,0.959279462404391
1.1329993622708943,0.28035770928668635,0.5,1.0695563731238786
0.506116587478983,0.19797596279807964,0.5,0.7168333303675151
0.9633856516176893,0.04806922191654809,0.5,0.9824781705456893
1.9276310246954216,0.06906812557443726,0.5,1.3893628029966374
1.7573071674027192,0.1278508459983974,0.5,1.3275169833469294
1.302692385646406,0.18532274499462367,0.5,1.1445224136611563
1.2282328189362315,0.2964004049694549,0.5,1.1134679877550817
1.9176900202261828,0.07944152442085518,0.5,1.3859268396181208
1.3897612811962459,0.2157314609478027,0.5,1.1824501221571755
1.9143018778530654,0.2796224863213238,0.5,1.387524641664065
1.9968226164111806,0.12168103958637302,0.5,1.414770575754254
0.5506469814735443,0.21492876957215548,0.5,0.7476915383598751
0.6778409031385203,0.05604144230371149,0.5,0.8246393284209219
1.6417982569652705,0.13152785832156966,0.5,1.2833300681940545
0.6892062034899591,0.0956942300025053,0.5,0.8324327356305925
1.0127642826778473,0.11936304821324085,0.5,1.0086758159828544
0.950028934694708,0.09318738955627956,0.5,0.9765598123511177
1.3265676358845844,0.23618776534341435,0.5,1.1557654262298693
0.5759296434476552,0.17347001481724228,0.5,0.7633516986955972
1.1764555689913063,0.24120825810664,0.5,1.0889801497610492
1.3331248432419833,0.11696220546641797,0.5,1.1565870824944464
0.678755786482788,0.10601704381103252,0.5,0.8263758692366667
1.0121376290336574,0.10422172606359059,0.5,1.008071817981247
1.2568276237297211,0.08081803949475913,0.5,1.1224903466834293
0.9559476658585826,0.21460213579537576,0.5,0.9820033410269486
1.1267545027296921,0.2667638992264737,0.5,1.0663840619322975
1.1218415024691692,0.0623085907868378,0.5,1.0603185520383862
0.639970763235282,0.02068524733363733,0.5,0.800486589962163
1.3819946008839772,0.026721141140097424,0.5,1.176026528382656
0.6110837923585871,0.022408374641676394,0.5,0.7822781599233278
1.3707791478384206,0.15187208862370175,0.5,1.1733335635275606
0.6243072739357958,0.23268385824429588,0.5,0.7958621030985603
1.308685726482968,0.10906394875998822,0.5,1.1458385737011147
1.7761534743937353,0.12712567466120647,0.5,1.3345858237896087
0.9331943904674371,0.2688670138995221,0.5,0.9714406869170589
0.6241172850326484,0.2759674091536387,0.5,0.796804406333645
0.9807201383546998,0.03464389956022642,0.5,0.9909961733938588
1.13674879023109,0.08324429630352884,0.5,1.067708068975526
1.4182484100946955,0.2954742084865748,0.5,1.195738420961584
0.7272977455995191,0.2408896729671114,0.5,0.8583166656018028
0.5059420455854283,0.27349497793950256,0.5,0.7187666124418901
1.7646234701402088,0.24304808036433723,0.5,1.3319600353537042
1.1826339769324938,0.13115244156445452,0.5,1.0898427038711163
1.3604459132318185,0.16239855538908912,0.5,1.1690977746970974
1.7019922445846776,0.21394242722577067,0.5,1.3078032614457666
1.6448705568877575,0.21353429172867808,0.5,1.285772818253057
1.7929010977248523,0.17263453138576382,0.5,1.3415083429137176
0.9829265550060227,0.012166097992953557,0.5,0.9916661702452456
0.7906918301590189,0.29102122764540994,0.5,0.8955779401391695
0.5190553733219473,0.11018145933219503,0.5,0.7234357860771826
1.0940855768084203,0.025416401723585124,0.5,1.0464599395107048
1.4097577078311143,0.19507009764993,0.5,1.1905366997789546
1.3497764468519096,0.1703511111068573,0.5,1.1646590862263175
1.8182243288497095,0.18593859208507063,0.5,1.3511060487996611
1.7416674845962867,0.2386685675791813,0.5,1.323249967132948
1.2448029342436926,0.03945453714278836,0.5,1.116397835496304
0.6840365424883681,0.2739813613723594,0.5,0.8335100115877289
1.2508649027226455,0.22553672811875305,0.5,1.122352409524203
1.8792291336495233,0.0800696160106013,0.5,1.3719901067518443
1.8212837166185714,0.17731117770035648,0.5,1.3521131367224755
1.5111133899595957,0.274752399525827,0.5,1.2336311870109613
1.4883586096550483,0.13404703367138013,0.5,1.2221271709228285
1.7435481781684992,0.21202018612654586,0.5,1.3235672316467597
1.5305576160121637,0.22333225645258786,0.5,1.2406778519341122
1.4362892764898814,0.24965504226071647,0.5,1.202514626346886
1.1026423851141023,0.15060629295760758,0.5,1.0528653491462043
1.0992601438461087,0.19207232270011498,0.5,1.052028026694908
1.2295153068832616,0.16923415363974093,0.5,1.111812041673328
1.8225948484199481,0.14233021568655577,0.5,1.3520926826479773
1.462290258228166,0.0687760342888189,0.5,1.2103622689375164
1.73819741057809,0.13782838089639568,0.5,1.3204473983112146
1.2540213470885402,0.12788890590947394,0.5,1.1220592709280688
1.3046981493692809,0.07150983872878872,0.5,1.1434559468753591
1.5481894332480297,0.019240441438995913,0.5,1.2445645877140088
1.5418644171397184,0.1554171118537731,0.5,1.2441605194152026
0.8292101856217493,0.18141769497795093,0.5,0.9144926540611606
1.8904021038754826,0.27748353576395285,0.5,1.378855070154678
0.8370105245286044,0.17323046433342332,0.5,0.9185735351846518
1.4872614335121834,0.12237501064499101,0.5,1.2214915911972146
1.0435325904882806,0.010643944148596273,0.5,1.0217379162762754
0.922251979135172,0.035423953263481085,0.5,0.9610596897745356
1.9898389906959975,0.08281024759061838,0.5,1.4117626450620182
1.5192962798538514,0.13523028686256441,0.5,1.2347383175938214
0.9250389496639766,0.059580905274205,0.5,0.9629986130707823
1.5907835337439238,0.2611979331462494,0.5,1.2653009831686093
1.6289765657303659,0.01696882962820022,0.5,1.2765733079763644
1.0443027600236874,0.18123272992718997,0.5,1.025369281545175
1.89974699624392,0.21139955237267766,0.5,1.381305466310214
1.9542276965662104,0.10003976612118608,0.5,1.3993339486806997
0.8981337446354697,0.17376895549163585,0.5,0.9512736695921745
1.5960330770710276,0.23247265055884178,0.5,1.2669309531239192
0.802850608143856,0.23739876649323785,0.5,0.9011792260477369
0.827628824766719,0.06188009177485503,0.5,0.9110686120439416
1.6589674037999522,0.221126997857142,0.5,1.2913578811289095
1.9178236438201792,0.27457750019095867,0.5,1.3887221923125548
1.243956131599622,0.037170796359005394,0.5,1.1159785463136804
0.9710469436949225,0.110195350699531,0.5,0.9875988302856696
0.9234603474819406,0.26486870810729135,0.5,0.9663367846627705
1.1806886375539758,0.07558674998639814,0.5,1.0879527769969244
1.460420994983473,0.06506657301113226,0.5,1.2095299326563689
1.8784843548726393,0.2747110331794334,0.5,1.3744872697141326
1.6212786334630787,0.2122451299673588,0.5,1.276545909418235
1.8193408803413988,0.11787939935769626,0.5,1.3505352806864428
1.638252937844844,0.2831532235988042,0.5,1.2842560533794156
1.1455885612648693,0.2525427325932427,0.5,1.0749202350671387
1.930179532069019,0.17387142089324553,0.5,1.3917511934421545
1.4105382242305748,0.24651052770149298,0.5,1.1917078256514533
1.1798045448620453,0.18160228058923922,0.5,1.0894486605377798
1.5178964890220155,0.17704874616952693,0.5,1.2348329667081546
1.6301753890606872,0.09581411853176587,0.5,1.2782480698463168
1.3570181391012872,0.18587474700118925,0.5,1.1680234892355639
1.2250244320897987,0.014986067133053286,0.5,1.1070726377872337
1.8708256807366044,0.22420831303955815,0.5,1.3709791457074436
1.2618632076542617,0.24334434796163215,0.5,1.1275499307110586
