alpha,beta,A,omega
1.8282804000649202,0.06393917084995328,1.5,1.3433334386573794
1.490533070780785,0.2579015316371391,0.5,1.2206429138191373
1.6527754983443814,0.17085276622281084,0.5,1.2855172976778857
0.5940768838561523,0.24688211167837248,0.5,0.7698876926846023
1.7382317200903337,0.0908565658554447,1.5,1.2968819459135132
1.0627204947449629,0.22642962612804732,0.5,1.0305856927404502
0.9751072498354465,0.2881337585672143,0.5,0.9869192745735568
0.5087368926619714,0.11833188478458138,0.5,0.7130117156436049
0.8937420691251523,0.22756895815326775,1.0,0.9054548066886788
1.131783221343433,0.048212240825993104,2.0,0.9362178394468172
0.6588818550609867,0.11781535141014673,1.0,0.7980174914773556
1.4497399190548368,0.13500949629179793,1.0,1.199371062608206
1.0706364048297985,0.28636993600029115,0.5,1.0342405422913974
1.5879409071143584,0.20844809921016771,0.5,1.2599989567926146
1.4807990166025915,0.21617807480077172,0.5,1.216717665730322
1.8009807584632989,0.07576582445859148,1.0,1.3410193333177054
1.4482026762502507,0.18502272339721546,0.5,1.2032896830949698
1.7154115281594486,0.04122189177109173,2.0,1.2833749274325923
1.0126920859101696,0.05712403550599948,1.0,1.0049686406668814
1.3155039345026833,0.21187707388240917,1.0,1.131846490058793
0.7944453276721302,0.24953519402633542,1.0,0.8166436299859712
1.9942117851779417,0.19438130098305323,1.5,1.2689728844655912
0.8648231964594907,0.17813703942295298,1.0,0.9077197188045174
0.8853012008406541,0.23928291062579707,1.0,0.8934990917343892
1.546840356024622,0.13531419230418315,1.5,1.1604805114422443
0.6930098184757542,0.2322368623208578,0.5,0.8318652907220352
1.0643577521421412,0.07781137057243288,1.5,0.9918360743200785
1.4974763695429412,0.09112294820627291,0.5,1.2236860336832618
1.1838934445656233,0.29431156624382426,0.5,1.0876384880769012
1.379777490238297,0.09748814393910797,1.0,1.1721011656543647
1.7595269054134135,0.08658415025852943,1.5,1.3076950858495093
1.5897104154685557,0.10753495819112753,0.5,1.2608013270929201
1.0475108952628385,0.15069114959027544,1.0,1.0130925413095544
1.0515493545350099,0.08647972568906785,1.0,1.0223953056017128
0.9257097334161966,0.055060165957607266,0.5,0.9621169741180136
