alpha,beta,delta,F0,omega_ext,A,fit_residual
1.660934072833945,0.02799830089664502,0.1701190740732297,1.260909597684367,1.3012699794611229,2.3143455222465867,0.01487421467687544
1.1583176596280784,0.14289599204558906,0.0948140035073048,0.9317343817316629,1.049980917127633,1.5348655639505084,0.02469074493922189
1.7878968798670738,0.047418716582792106,0.19106528069641965,0.4427966460712023,1.396307499022581,1.6295680990045256,0.004894240593128962
1.546052043589046,0.054174745945696955,0.13365097204636997,1.1439450009244196,0.9686840121841822,1.4663947248965026,0.008666073943293846
0.6412660218314743,0.19336201577876094,0.032020784410657394,0.21827325394790073,1.1768754430606374,0.2932943497124913,0.01569836284190161
1.963433527455134,0.12394894355536763,0.17816766776309215,1.1841849682282963,0.9288974520044277,0.9954093237396382,0.004822695666291238
1.6417095529855295,0.27733721054494853,0.10296038625785157,0.9259793111402189,1.1467104314700896,1.2281781988412004,0.015704220829526126
1.6790964579154308,0.1025553834363403,0.03691140391485195,0.2550504457549622,0.9067265562848704,0.29737754825157425,0.009025986788908874
0.6921704490133188,0.2205922372313313,0.03901112542986994,0.2113077883293183,0.9131050370600654,1.2066673759660547,0.01978260262889963
1.1755789068433506,0.1437188347449232,0.14063144767087565,1.1511708668110474,1.228556363929411,1.7560881708406522,0.03196648395848831
1.056197036348872,0.20138587732749086,0.01900077627860306,0.510110269105372,0.9846502295230367,1.2362557542228674,0.07271151805754711
1.8901474832729028,0.1839116534476372,0.06445281533362453,1.345022591074099,0.9206570585949732,1.1017778850861297,0.011553349180250545
1.4657976801209969,0.14710735210010947,0.03655964218927494,1.1669022294422464,1.4508377750945511,1.8711709481735312,0.03163006520088551
1.734142419906245,0.2855177174410867,0.093804711627284,1.0774663426048026,0.8301022755180358,0.9150334697090972,0.010878319805112113
1.1651212982409966,0.10938695639893718,0.08872721667892865,0.49004847368683135,1.195603678887121,1.6503302457713107,0.017951241878390724
0.8408580826771653,0.061398295362289045,0.10915652259088263,1.092522326630265,1.1837846892832857,2.200984489603627,0.03707394999397167
1.3318771805237521,0.2066472776551502,0.06313090252948074,1.4274067583207677,0.9754262120821419,1.4291341647280953,0.03550316201269569
0.5957258841562629,0.25534219277929354,0.016088281981853667,0.22818376811879648,1.1169402215789725,0.3489567517963646,0.10176232145914273
1.741446757988873,0.02167358458257789,0.1267333602416853,0.5566276988049924,0.8614164481578449,0.5529718327102061,9.071542904598402e-05
1.4474965986830972,0.14039347964257737,0.08100642054764676,0.42854117164623173,1.30488910214672,1.5354272222347332,0.014078373433903594
1.6371316101280606,0.2688214300093246,0.13375364976060883,0.6505501881609334,0.9551880038637763,0.8062627403256274,0.003948435702568244
1.0317889521948025,0.22738939948763157,0.03064672445281101,1.139265716795525,0.9353697518785892,1.4070489408340057,0.044611392101038504
