alpha,beta,delta,F0,omega_ext,A,n_branches
1.3596959854212585,0.24338915326582308,0.049991934864512005,1.3078490670128218,1.1896010825327394,1.9777924024505187,1
1.2927367177553042,0.040448490253355424,0.11212443838376494,0.2260705224997674,0.8364769615119072,0.3739154609785576,1
1.645475359702889,0.13153305595200704,0.15568527554046696,0.9395022963787877,1.4888739209394117,2.8560376236259177,1
1.7175391505144106,0.19628514183120566,0.06503568022615587,0.17255559888719482,0.9544358109925156,0.21158254585810818,1
1.2653432828010855,0.052270128475097155,0.08606333448967753,0.5604564221824976,1.1514475405710303,2.555907077862413,1
1.6690095085966812,0.06438512192749303,0.16885260946447725,0.6542593523372346,1.0444572226271505,1.004700659825104,1
1.694169956690067,0.17209194305846107,0.1773598199267823,0.6988566080527471,1.0506527099791476,0.954664176252549,1
1.3921325065113015,0.02233002061356578,0.010822130397738423,0.4061818892306296,0.9168841335235379,0.7248797171322852,1
1.1128670703439159,0.11935671115072669,0.03959404193380593,0.7841570638226679,1.2268461386736986,2.7437850125090417,1
1.5069146597071965,0.09734343822745051,0.04669177699622415,0.912933393660645,1.0740701629182556,1.6482079169363564,1
1.4412017447803813,0.1712824061542291,0.07321214523170569,1.0078816527208703,1.1924898145856444,1.9523246733241209,1
1.760123533599762,0.08244487208814093,0.05347726847015084,0.20122238089476863,1.3349081531035925,1.4873123599503566,1
1.5862452327691516,0.13856337684975994,0.19038273124913496,0.2884472637007297,1.3324584499496368,1.1040149980534275,1
1.2935276122085693,0.13726065252611375,0.05513345790534792,0.670163394128555,1.0603214871460533,1.569727874997131,1
1.9460988827884451,0.11884752069752567,0.02601318749007562,1.130818178792976,1.0194650924631916,1.1116110985531096,1
1.203131310695583,0.11921721277017311,0.05653705901072563,1.1966087198859616,1.224592279843469,2.8262260059217192,1
1.716658949648002,0.09749129615980977,0.12596859640094674,1.4151783226468755,1.269082385834329,2.466706645414206,1
1.797915305395556,0.23981149939035554,0.08705923126423416,0.6024968364454866,1.3879780088863536,1.6300264922884777,1
1.4447643989796506,0.22545124613560677,0.046358930532807645,0.7993500114707406,1.300421667500385,1.960129664532,1
0.5703674656727455,0.07691841684255249,0.05904185564398424,0.5273328178710758,0.8777621453590112,2.6162938771359707,1
0.6798198633929189,0.20988929080345942,0.09322100881622049,0.8234689365400056,1.2070860158001158,2.609635624771364,1
