alpha,beta,delta,F0,omega_ext,A,max_residual
1.9010426124340463,0.1640415352651257,0.04760873107973247,0.30624597828298933,1.2246566138113968,0.7585584125027988,6.125274725581369e-13
0.6274201804081648,0.18062113160184398,0.01578591763013268,0.7318786675944959,1.372015154535812,0.58210840353879,7.292621603396629e-12
1.6633576197113928,0.12851661596078953,0.08711103327296547,1.114493014175785,0.8399225382716478,1.1516895361415929,4.530310267542563e-13
1.2671652681548147,0.10235147328714889,0.18874352052979385,1.4176098379045676,1.2535142570864,1.8247358645565637,3.3037125333532914e-11
1.6227615779937552,0.11442043988786096,0.12504783460275604,0.6568765118677589,1.008121756687269,1.9840210501377165,1.9588555281609127e-10
1.8207372164093139,0.13168087790514968,0.030583298913119943,1.4239088798335024,1.0448422608787111,1.878380273080531,4.609835727559079e-10
1.2487199627464163,0.06709907809044693,0.07168323277779842,0.5077078137995389,1.0365491818000823,2.118906078635423,1.8466115752848469e-10
1.6923576743045265,0.08695127982722184,0.08614642034090148,1.0965685236661487,0.9381015297194236,2.121442116107914,3.872103541479632e-09
0.5827584338055615,0.20460752308738347,0.14865616740182047,0.484038232108459,1.241690438051367,0.4950781474227056,2.3604433624774666e-10
1.5955387732096717,0.2792458036243373,0.15015991538649776,0.957036603980639,1.3373331451266135,1.3969436411675247,3.408373804991265e-10
1.6593540987800717,0.23609829127719303,0.13852012109726236,1.3319651929046896,1.4854952859957096,1.4396079193069078,4.9326234670625485e-11
0.5997049027771186,0.1083501604265194,0.1088864292081455,0.2287093572479459,0.8189179142615495,1.2729649650430563,2.2128152698830126e-13
0.6575887423000948,0.21135730441686412,0.1863672737081668,1.008548867504607,1.1877333406534845,1.0868349458513085,4.7065945245202187e-11
1.0851419914677933,0.25618438998871507,0.1391490457695527,0.32239401068506224,1.095672401178201,1.1324947845939586,5.718034585552383e-12
0.9891330350426898,0.19603943699490622,0.0720663326401104,0.7363651472371787,1.041680301291906,1.3780280475678504,1.6245776090081176e-10
0.8775276913790839,0.06785134894478355,0.06311735519283374,0.42382569541320436,1.0471606037018986,1.4977917847942852,7.9860996178856e-12
1.7643909869911905,0.171558613687563,0.15501587150422164,0.8035663536732722,0.9228414856320313,1.7202982581391373,1.7542546852672698e-11
0.5106071929786902,0.2940174832726789,0.06244422602810662,0.309630376040256,1.4099755644317074,0.20920123576628555,3.896611143194473e-12
0.7716538500639081,0.11139029429810897,0.06630733370243279,1.0617907222886849,1.4024068253437778,0.8801649037473601,1.009501952144919e-12
1.4574402910693713,0.060942058879637065,0.13772000832467451,1.437659885955283,0.847577840111791,2.0518851758633327,8.871994567032656e-12
1.251710879505324,0.13015305219762446,0.19862538880162126,0.5292413168835065,1.3684890996547212,0.777745434588389,1.3069573697200752e-11
1.5214179993571915,0.03658193453799028,0.11286449779174942,1.2865308492926317,0.8116856230998062,1.4796204936417419,7.438398520778412e-11
0.5833106400655148,0.14118976719193865,0.15300295208995454,1.0055259943443158,1.0764458268286528,1.2516596222926708,3.1176043556876964e-10
1.6007401825474716,0.11351932669092904,0.17929718063084737,1.1872465154031064,1.4515059472988856,1.6495153292995697,5.185134121319025e-11
1.4799651768798732,0.05551804413609913,0.1492186312460796,0.1196979165522682,0.8535643307195909,0.1570608717336063,4.418481570041657e-11
1.8500027511124961,0.22314621652692535,0.06526958065571187,0.33094377187853263,0.9612560519598096,0.3565796309768849,3.775764271543011e-11
1.9873983705074596,0.15068719669955172,0.1587890680801667,0.9447929204723112,1.1417470603641962,1.4521261126352296,4.889925683971256e-13
1.2459027706100259,0.15407180147019103,0.09476142916479623,0.24605036386103232,1.2750332314249135,0.6159838307148118,3.4520082240253802e-12
1.5808556656787685,0.09745408433428662,0.09459555296299445,0.1344521166989468,1.0397754603684843,0.2639891285685994,6.430861509544639e-13
0.5646432601472223,0.020576362626008572,0.1801492781920985,1.3050997511056388,0.8384343383629997,2.3925949143578658,2.777752583463211e-10
0.8891198546516443,0.08595922743582811,0.05773558589880034,1.0446431694757903,1.1779311768991714,1.588674227886115,4.28107758516229e-10
0.7595277833867722,0.027703064361487686,0.062199593512072465,0.10678766222946523,1.0617671677250402,0.28575466776301617,8.919526190653476e-12
