alpha,beta,delta,F0,omega_ext,A,n_branches
1.612702991963841,0.2418895202904315,0.1939796403760159,0.4312478806613742,1.1686008036679598,0.9714174732183414,1
1.6305032256794119,0.16099282215046382,0.16531575195625317,1.0749233514711103,1.1977103674125475,1.4909727744903623,1
1.1977708073442253,0.2538674053764668,0.06523856504453365,1.187943558201727,1.2104868806503724,1.5887982157534115,1
0.655587544471838,0.031337019364686976,0.1784089907845957,0.9991805824320086,1.0125149309611012,2.471872583967848,1
1.9502777747386006,0.27749669560178186,0.1301717884722887,0.4698981123941858,1.3686247780842784,1.1411412766001041,1
0.9811254813189215,0.025639388248956584,0.04985764299189272,1.1188477201139386,1.1400954660385731,2.6099742902931284,1
1.7866387837896416,0.14189326483727205,0.1301902982849439,0.3097601030653671,1.0490257839527444,0.44067414492778867,1
1.2697191358782347,0.22649632402830283,0.10744712193968757,1.0598046007502546,1.252844978720127,1.6075191560449453,1
0.7688600821832425,0.16057480811521438,0.013688269665325442,1.430724329128489,0.8246657510827505,1.664640780521712,1
1.6256968648962133,0.2877789880864461,0.19589786999003383,1.1887392020613228,1.0568405350245262,1.240933906089497,1
1.6894673298257872,0.1921798973611736,0.03322218300248081,0.44128992831065705,1.422142093095967,1.5083624394993091,1
1.330743357636588,0.1027300007616493,0.028730978015933606,0.17649790351206607,0.9499485540196957,0.4094969387774919,1
1.732607379262626,0.0346703794865315,0.1466304424430415,1.191657138230169,1.0724026268378286,1.6041216074333922,1
1.4163032677504215,0.02471816519035364,0.16011804418441994,0.8963340623651324,1.2214150676505309,2.2790364245266286,1
1.150534269262972,0.12777591361171653,0.02815316388993288,0.7612062882641135,1.3179742235154537,1.8766170710313868,1
0.9654946606449597,0.28319278137916143,0.10354354078090475,0.40796295507917557,1.0527762568469499,1.260951773265851,1
1.5716401525259718,0.25312770769602094,0.14684458976474077,1.3700421505221252,1.464102481714358,1.7075460507360618,1
1.8532620208056747,0.28481534508601447,0.1288316729035158,1.466494535521396,1.2619829809737848,1.4326740709814965,1
0.7904284593708972,0.26750326630492527,0.12467915189932943,0.5323554220829212,0.9633849187494461,1.328072346627314,1
1.4152951465773411,0.14337916853533694,0.02825513101125148,1.4337156649984764,0.930722949770938,1.474137885716717,1
0.5922504251379785,0.18663982603861984,0.17169455598386807,1.3438269974329917,1.363948717825856,2.007659127815038,1
